record_date,item_code,quantity,customer
2023-04-05,SAMPLE-B,14,CUST-07
2023-04-05,SAMPLE-B,19,CUST-01
2023-04-06,SAMPLE-B,27,CUST-07
2023-04-06,SAMPLE-B,7,CUST-05
2023-04-06,SAMPLE-B,26,CUST-03
2023-04-06,SAMPLE-B,14,CUST-07
2023-04-06,SAMPLE-B,23,CUST-06
2023-04-06,SAMPLE-B,11,CUST-02
2023-04-06,SAMPLE-B,27,CUST-01
2023-04-06,SAMPLE-B,11,CUST-03
2023-04-06,SAMPLE-B,5,CUST-06
2023-04-07,SAMPLE-A,3,CUST-01
2023-04-07,SAMPLE-A,7,CUST-07
2023-04-07,SAMPLE-B,11,CUST-03
2023-04-07,SAMPLE-B,23,CUST-07
2023-04-07,SAMPLE-C,4,CUST-01
2023-04-10,SAMPLE-A,7,CUST-06
2023-04-10,SAMPLE-B,14,CUST-05
2023-04-10,SAMPLE-B,29,CUST-02
2023-04-10,SAMPLE-B,26,CUST-08
2023-04-11,SAMPLE-A,8,CUST-02
2023-04-11,SAMPLE-B,14,CUST-08
2023-04-11,SAMPLE-B,13,CUST-06
2023-04-12,SAMPLE-A,7,CUST-02
2023-04-12,SAMPLE-B,6,CUST-07
2023-04-13,SAMPLE-A,9,CUST-02
2023-04-13,SAMPLE-B,13,CUST-06
2023-04-13,SAMPLE-B,18,CUST-04
2023-04-13,SAMPLE-B,17,CUST-07
2023-04-13,SAMPLE-B,27,CUST-05
2023-04-13,SAMPLE-B,6,CUST-07
2023-04-13,SAMPLE-C,3,CUST-04
2023-04-14,SAMPLE-B,15,CUST-06
2023-04-14,SAMPLE-B,26,CUST-02
2023-04-14,SAMPLE-B,13,CUST-07
2023-04-17,SAMPLE-B,26,CUST-08
2023-04-17,SAMPLE-B,10,CUST-05
2023-04-17,SAMPLE-B,29,CUST-03
2023-04-17,SAMPLE-B,27,CUST-08
2023-04-18,SAMPLE-A,9,CUST-01
2023-04-18,SAMPLE-B,22,CUST-04
2023-04-18,SAMPLE-B,27,CUST-02
2023-04-19,SAMPLE-A,3,CUST-03
2023-04-19,SAMPLE-A,7,CUST-01
2023-04-19,SAMPLE-A,11,CUST-03
2023-04-19,SAMPLE-B,6,CUST-07
2023-04-19,SAMPLE-C,2,CUST-04
2023-04-20,SAMPLE-A,6,CUST-06
2023-04-20,SAMPLE-B,7,CUST-03
2023-04-20,SAMPLE-B,22,CUST-07
2023-04-20,SAMPLE-B,19,CUST-07
2023-04-21,SAMPLE-B,25,CUST-05
2023-04-21,SAMPLE-B,28,CUST-08
2023-04-24,SAMPLE-B,16,CUST-02
2023-04-24,SAMPLE-B,29,CUST-04
2023-04-24,SAMPLE-B,12,CUST-07
2023-04-24,SAMPLE-B,5,CUST-08
2023-04-25,SAMPLE-B,25,CUST-06
2023-04-25,SAMPLE-B,8,CUST-07
2023-04-26,SAMPLE-A,12,CUST-04
2023-04-26,SAMPLE-A,4,CUST-04
2023-04-26,SAMPLE-B,7,CUST-05
2023-04-26,SAMPLE-B,30,CUST-04
2023-04-26,SAMPLE-B,13,CUST-06
2023-04-27,SAMPLE-A,4,CUST-01
2023-04-27,SAMPLE-A,11,CUST-01
2023-04-27,SAMPLE-A,9,CUST-06
2023-04-27,SAMPLE-B,8,CUST-06
2023-05-01,SAMPLE-A,8,CUST-03
2023-05-01,SAMPLE-B,6,CUST-05
2023-05-03,SAMPLE-A,3,CUST-04
2023-05-03,SAMPLE-B,8,CUST-02
2023-05-03,SAMPLE-B,17,CUST-05
2023-05-03,SAMPLE-B,21,CUST-07
2023-05-03,SAMPLE-B,25,CUST-08
2023-05-03,SAMPLE-B,9,CUST-06
2023-05-04,SAMPLE-A,5,CUST-04
2023-05-04,SAMPLE-A,12,CUST-04
2023-05-04,SAMPLE-B,14,CUST-06
2023-05-04,SAMPLE-B,11,CUST-07
2023-05-04,SAMPLE-B,6,CUST-06
2023-05-04,SAMPLE-C,3,CUST-02
2023-05-04,SAMPLE-C,2,CUST-01
2023-05-04,SAMPLE-C,4,CUST-02
2023-05-05,SAMPLE-B,21,CUST-08
2023-05-05,SAMPLE-B,27,CUST-02
2023-05-05,SAMPLE-C,4,CUST-02
2023-05-08,SAMPLE-A,11,CUST-06
2023-05-08,SAMPLE-B,17,CUST-03
2023-05-08,SAMPLE-B,19,CUST-01
2023-05-08,SAMPLE-B,25,CUST-01
2023-05-08,SAMPLE-B,25,CUST-02
2023-05-08,SAMPLE-B,28,CUST-07
2023-05-09,SAMPLE-A,10,CUST-05
2023-05-09,SAMPLE-B,8,CUST-04
2023-05-09,SAMPLE-B,22,CUST-03
2023-05-09,SAMPLE-B,12,CUST-07
2023-05-09,SAMPLE-B,7,CUST-01
2023-05-10,SAMPLE-B,29,CUST-01
2023-05-10,SAMPLE-B,11,CUST-05
2023-05-11,SAMPLE-A,4,CUST-04
2023-05-11,SAMPLE-A,7,CUST-05
2023-05-11,SAMPLE-B,6,CUST-06
2023-05-11,SAMPLE-B,27,CUST-06
2023-05-12,SAMPLE-A,9,CUST-08
2023-05-12,SAMPLE-B,12,CUST-04
2023-05-12,SAMPLE-B,24,CUST-02
2023-05-15,SAMPLE-A,10,CUST-03
2023-05-15,SAMPLE-B,15,CUST-03
2023-05-15,SAMPLE-B,30,CUST-04
2023-05-15,SAMPLE-B,25,CUST-07
2023-05-15,SAMPLE-B,21,CUST-02
2023-05-15,SAMPLE-B,7,CUST-07
2023-05-15,SAMPLE-B,28,CUST-08
2023-05-15,SAMPLE-B,26,CUST-05
2023-05-15,SAMPLE-B,17,CUST-03
2023-05-16,SAMPLE-B,28,CUST-07
2023-05-16,SAMPLE-B,22,CUST-02
2023-05-17,SAMPLE-A,11,CUST-03
2023-05-17,SAMPLE-A,8,CUST-02
2023-05-17,SAMPLE-B,15,CUST-05
2023-05-17,SAMPLE-B,22,CUST-07
2023-05-17,SAMPLE-B,23,CUST-08
2023-05-17,SAMPLE-B,29,CUST-07
2023-05-18,SAMPLE-A,3,CUST-03
2023-05-18,SAMPLE-B,24,CUST-07
2023-05-19,SAMPLE-B,26,CUST-06
2023-05-19,SAMPLE-B,5,CUST-08
2023-05-19,SAMPLE-B,24,CUST-05
2023-05-22,SAMPLE-A,3,CUST-08
2023-05-22,SAMPLE-B,26,CUST-06
2023-05-22,SAMPLE-B,14,CUST-02
2023-05-23,SAMPLE-B,7,CUST-08
2023-05-23,SAMPLE-B,20,CUST-01
2023-05-23,SAMPLE-B,16,CUST-05
2023-05-24,SAMPLE-A,7,CUST-01
2023-05-24,SAMPLE-B,10,CUST-01
2023-05-25,SAMPLE-A,7,CUST-02
2023-05-25,SAMPLE-A,4,CUST-06
2023-05-25,SAMPLE-A,12,CUST-03
2023-05-25,SAMPLE-B,20,CUST-03
2023-05-25,SAMPLE-B,6,CUST-07
2023-05-25,SAMPLE-B,18,CUST-02
2023-05-25,SAMPLE-B,26,CUST-02
2023-05-25,SAMPLE-B,30,CUST-03
2023-05-26,SAMPLE-B,11,CUST-07
2023-05-29,SAMPLE-A,10,CUST-03
2023-05-29,SAMPLE-A,12,CUST-04
2023-05-29,SAMPLE-A,4,CUST-07
2023-05-29,SAMPLE-B,13,CUST-01
2023-05-29,SAMPLE-B,10,CUST-08
2023-05-30,SAMPLE-B,18,CUST-05
2023-05-30,SAMPLE-C,1,CUST-02
2023-05-31,SAMPLE-A,4,CUST-03
2023-05-31,SAMPLE-B,16,CUST-02
2023-05-31,SAMPLE-B,18,CUST-05
2023-05-31,SAMPLE-B,24,CUST-01
2023-06-01,SAMPLE-B,17,CUST-07
2023-06-02,SAMPLE-A,9,CUST-04
2023-06-02,SAMPLE-B,12,CUST-08
2023-06-05,SAMPLE-B,25,CUST-03
2023-06-05,SAMPLE-C,1,CUST-04
2023-06-06,SAMPLE-B,9,CUST-01
2023-06-06,SAMPLE-B,7,CUST-05
2023-06-06,SAMPLE-C,1,CUST-04
2023-06-07,SAMPLE-A,8,CUST-01
2023-06-07,SAMPLE-A,6,CUST-07
2023-06-07,SAMPLE-A,3,CUST-03
2023-06-07,SAMPLE-B,30,CUST-05
2023-06-07,SAMPLE-B,13,CUST-07
2023-06-07,SAMPLE-B,15,CUST-05
2023-06-07,SAMPLE-B,9,CUST-03
2023-06-08,SAMPLE-A,12,CUST-07
2023-06-08,SAMPLE-A,7,CUST-06
2023-06-08,SAMPLE-A,5,CUST-04
2023-06-08,SAMPLE-B,17,CUST-01
2023-06-08,SAMPLE-B,23,CUST-06
2023-06-09,SAMPLE-A,12,CUST-06
2023-06-09,SAMPLE-A,3,CUST-06
2023-06-09,SAMPLE-B,7,CUST-05
2023-06-09,SAMPLE-B,17,CUST-01
2023-06-09,SAMPLE-B,23,CUST-03
2023-06-09,SAMPLE-B,5,CUST-05
2023-06-12,SAMPLE-B,7,CUST-03
2023-06-12,SAMPLE-B,16,CUST-01
2023-06-13,SAMPLE-A,6,CUST-03
2023-06-13,SAMPLE-B,12,CUST-04
2023-06-14,SAMPLE-A,10,CUST-02
2023-06-14,SAMPLE-B,23,CUST-06
2023-06-15,SAMPLE-A,6,CUST-04
2023-06-15,SAMPLE-A,5,CUST-07
2023-06-15,SAMPLE-A,9,CUST-02
2023-06-15,SAMPLE-B,16,CUST-03
2023-06-15,SAMPLE-B,19,CUST-01
2023-06-15,SAMPLE-B,7,CUST-04
2023-06-15,SAMPLE-B,29,CUST-02
2023-06-16,SAMPLE-B,27,CUST-04
2023-06-16,SAMPLE-B,11,CUST-02
2023-06-19,SAMPLE-B,12,CUST-06
2023-06-19,SAMPLE-B,6,CUST-05
2023-06-19,SAMPLE-B,25,CUST-07
2023-06-20,SAMPLE-A,10,CUST-06
2023-06-20,SAMPLE-B,11,CUST-01
2023-06-20,SAMPLE-B,18,CUST-04
2023-06-20,SAMPLE-B,30,CUST-03
2023-06-20,SAMPLE-B,13,CUST-03
2023-06-20,SAMPLE-B,6,CUST-05
2023-06-20,SAMPLE-B,12,CUST-08
2023-06-20,SAMPLE-C,2,CUST-01
2023-06-20,SAMPLE-C,4,CUST-01
2023-06-22,SAMPLE-A,6,CUST-04
2023-06-23,SAMPLE-A,9,CUST-07
2023-06-23,SAMPLE-B,21,CUST-07
2023-06-23,SAMPLE-B,10,CUST-03
2023-06-23,SAMPLE-C,2,CUST-02
2023-06-26,SAMPLE-B,9,CUST-08
2023-06-26,SAMPLE-B,21,CUST-07
2023-06-26,SAMPLE-B,27,CUST-02
2023-06-26,SAMPLE-C,4,CUST-03
2023-06-27,SAMPLE-B,15,CUST-01
2023-06-27,SAMPLE-B,21,CUST-05
2023-06-27,SAMPLE-B,7,CUST-07
2023-06-27,SAMPLE-B,28,CUST-02
2023-06-27,SAMPLE-C,1,CUST-04
2023-06-28,SAMPLE-A,5,CUST-05
2023-06-28,SAMPLE-A,7,CUST-04
2023-06-28,SAMPLE-B,24,CUST-03
2023-06-28,SAMPLE-B,28,CUST-02
2023-06-28,SAMPLE-C,4,CUST-04
2023-06-28,SAMPLE-C,1,CUST-02
2023-06-29,SAMPLE-B,21,CUST-06
2023-06-29,SAMPLE-B,30,CUST-04
2023-06-29,SAMPLE-B,11,CUST-07
2023-06-29,SAMPLE-C,2,CUST-04
2023-06-30,SAMPLE-A,6,CUST-07
2023-06-30,SAMPLE-A,3,CUST-07
2023-06-30,SAMPLE-A,6,CUST-08
2023-06-30,SAMPLE-B,9,CUST-07
2023-07-03,SAMPLE-B,22,CUST-08
2023-07-03,SAMPLE-B,30,CUST-08
2023-07-04,SAMPLE-A,7,CUST-01
2023-07-04,SAMPLE-A,6,CUST-08
2023-07-04,SAMPLE-B,15,CUST-01
2023-07-05,SAMPLE-B,24,CUST-01
2023-07-05,SAMPLE-B,30,CUST-02
2023-07-05,SAMPLE-B,7,CUST-02
2023-07-05,SAMPLE-C,4,CUST-01
2023-07-06,SAMPLE-B,25,CUST-07
2023-07-06,SAMPLE-B,16,CUST-02
2023-07-06,SAMPLE-C,3,CUST-04
2023-07-07,SAMPLE-A,7,CUST-06
2023-07-07,SAMPLE-A,3,CUST-06
2023-07-07,SAMPLE-B,23,CUST-03
2023-07-07,SAMPLE-B,30,CUST-06
2023-07-07,SAMPLE-B,29,CUST-08
2023-07-07,SAMPLE-B,9,CUST-06
2023-07-10,SAMPLE-B,18,CUST-04
2023-07-10,SAMPLE-B,21,CUST-05
2023-07-10,SAMPLE-B,9,CUST-04
2023-07-12,SAMPLE-A,8,CUST-05
2023-07-12,SAMPLE-A,3,CUST-01
2023-07-13,SAMPLE-A,3,CUST-01
2023-07-13,SAMPLE-A,8,CUST-02
2023-07-13,SAMPLE-C,1,CUST-01
2023-07-13,SAMPLE-C,1,CUST-04
2023-07-13,SAMPLE-C,3,CUST-01
2023-07-14,SAMPLE-B,27,CUST-06
2023-07-14,SAMPLE-B,20,CUST-07
2023-07-14,SAMPLE-B,24,CUST-04
2023-07-17,SAMPLE-B,14,CUST-08
2023-07-17,SAMPLE-B,10,CUST-04
2023-07-18,SAMPLE-A,12,CUST-03
2023-07-18,SAMPLE-A,11,CUST-03
2023-07-18,SAMPLE-B,10,CUST-06
2023-07-18,SAMPLE-B,19,CUST-05
2023-07-19,SAMPLE-B,10,CUST-04
2023-07-19,SAMPLE-B,16,CUST-08
2023-07-19,SAMPLE-B,28,CUST-03
2023-07-19,SAMPLE-B,22,CUST-08
2023-07-19,SAMPLE-B,13,CUST-01
2023-07-19,SAMPLE-B,30,CUST-08
2023-07-19,SAMPLE-B,20,CUST-04
2023-07-19,SAMPLE-B,15,CUST-03
2023-07-19,SAMPLE-C,1,CUST-04
2023-07-20,SAMPLE-A,11,CUST-06
2023-07-20,SAMPLE-B,7,CUST-07
2023-07-20,SAMPLE-B,24,CUST-01
2023-07-21,SAMPLE-A,12,CUST-06
2023-07-21,SAMPLE-A,11,CUST-06
2023-07-21,SAMPLE-B,25,CUST-04
2023-07-21,SAMPLE-B,9,CUST-04
2023-07-24,SAMPLE-A,4,CUST-06
2023-07-24,SAMPLE-A,4,CUST-02
2023-07-24,SAMPLE-B,8,CUST-01
2023-07-24,SAMPLE-B,22,CUST-05
2023-07-24,SAMPLE-B,13,CUST-02
2023-07-24,SAMPLE-B,5,CUST-02
2023-07-24,SAMPLE-B,5,CUST-05
2023-07-25,SAMPLE-A,6,CUST-08
2023-07-25,SAMPLE-B,14,CUST-03
2023-07-25,SAMPLE-C,4,CUST-04
2023-07-26,SAMPLE-A,4,CUST-01
2023-07-26,SAMPLE-A,10,CUST-08
2023-07-26,SAMPLE-B,5,CUST-04
2023-07-27,SAMPLE-B,27,CUST-07
2023-07-27,SAMPLE-C,4,CUST-03
2023-07-28,SAMPLE-A,12,CUST-06
2023-07-28,SAMPLE-B,9,CUST-06
2023-07-28,SAMPLE-B,14,CUST-02
2023-07-28,SAMPLE-C,4,CUST-02
2023-07-31,SAMPLE-A,5,CUST-06
2023-07-31,SAMPLE-A,6,CUST-02
2023-07-31,SAMPLE-B,8,CUST-03
2023-07-31,SAMPLE-B,23,CUST-03
2023-07-31,SAMPLE-B,6,CUST-05
2023-07-31,SAMPLE-B,14,CUST-06
2023-08-01,SAMPLE-C,3,CUST-01
2023-08-02,SAMPLE-A,3,CUST-04
2023-08-02,SAMPLE-A,3,CUST-01
2023-08-02,SAMPLE-B,25,CUST-07
2023-08-02,SAMPLE-B,15,CUST-02
2023-08-03,SAMPLE-B,24,CUST-06
2023-08-03,SAMPLE-B,8,CUST-02
2023-08-03,SAMPLE-B,27,CUST-04
2023-08-04,SAMPLE-A,12,CUST-01
2023-08-04,SAMPLE-B,5,CUST-08
2023-08-04,SAMPLE-B,6,CUST-05
